Keyword,Category
加碼相關,Market Impact
減碼相關,Market Impact
報告相關,Market Impact
調升評等相關,Market Impact
調降評等相關,Market Impact
目標價相關,Market Impact
財報相關,Market Impact
營收相關,Market Impact
台積電,High Impact Entity
聯發科,High Impact Entity
鴻海,High Impact Entity
大立光,High Impact Entity
中鋼,High Impact Entity
中華電,High Impact Entity
富邦金,High Impact Entity
國泰金,High Impact Entity
元大金,High Impact Entity
美國聯準會,High Impact Entity
FED,High Impact Entity
FOMC,High Impact Entity
OPEC,High Impact Entity
WTI,High Impact Entity
布蘭特,High Impact Entity
中共,High Impact Entity
拜登,High Impact Entity
川普,High Impact Entity
美國財政部,High Impact Entity
財政部,High Impact Entity
央行,High Impact Entity
金管會,High Impact Entity
證交所,High Impact Entity
櫃買中心,High Impact Entity
國安基金,High Impact Entity
主計總處,High Impact Entity
經濟部,High Impact Entity
科技部,High Impact Entity
台積電相關,High Impact Entity
聯發科相關,High Impact Entity
鴻海相關,High Impact Entity
大立光相關,High Impact Entity
中鋼相關,High Impact Entity
中華電相關,High Impact Entity
富邦金相關,High Impact Entity
國泰金相關,High Impact Entity
元大金相關,High Impact Entity
美國聯準會相關,High Impact Entity
FED相關,High Impact Entity
FOMC相關,High Impact Entity
OPEC相關,High Impact Entity
WTI相關,High Impact Entity
布蘭特相關,High Impact Entity
中共相關,High Impact Entity
拜登相關,High Impact Entity
川普相關,High Impact Entity
美國財政部相關,High Impact Entity
財政部相關,High Impact Entity
央行相關,High Impact Entity
金管會相關,High Impact Entity
證交所相關,High Impact Entity
櫃買中心相關,High Impact Entity
國安基金相關,High Impact Entity
主計總處相關,High Impact Entity
經濟部相關,High Impact Entity
科技部相關,High Impact Entity
台積電相關,High Impact Entity
聯發科相關,High Impact Entity
鴻海相關,High Impact Entity
大立光相關,High Impact Entity
中鋼相關,High Impact Entity
中華電相關,High Impact Entity
富邦金相關,High Impact Entity
國泰金相關,High Impact Entity
元大金相關,High Impact Entity
美國聯準會相關,High Impact Entity
FED相關,High Impact Entity
FOMC相關,High Impact Entity
OPEC相關,High Impact Entity
WTI相關,High Impact Entity
布蘭特相關,High Impact Entity
中共相關,High Impact Entity
拜登相關,High Impact Entity
川普相關,High Impact Entity
美國財政部相關,High Impact Entity
財政部相關,High Impact Entity
央行相關,High Impact Entity
金管會相關,High Impact Entity
證交所相關,High Impact Entity
櫃買中心相關,High Impact Entity
國安基金相關,High Impact Entity
主計總處相關,High Impact Entity
經濟部相關,High Impact Entity
科技部相關,High Impact Entity
台積電相關,High Impact Entity
聯發科相關,High Impact Entity
鴻海相關,High Impact Entity
大立光相關,High Impact Entity
中鋼相關,High Impact Entity
中華電相關,High Impact Entity
富邦金相關,High Impact Entity
國泰金相關,High Impact Entity
元大金相關,High Impact Entity
美國聯準會相關,High Impact Entity
FED相關,High Impact Entity
FOMC相關,High Impact Entity
OPEC相關,High Impact Entity
WTI相關,High Impact Entity
布蘭特相關,High Impact Entity
中共相關,High Impact Entity
